FedexCup_RANK,Player_ID,Player,Points,Wins,Top_10,Driving_Dist_Rank,AvgDistance,TotalDistance,TotalDrives,MoneyEarned
1,46046,Scottie Scheffler,5993,6,14,56,303.8,43139,142,29228357
2,48081,Xander Schauffele,4057,2,12,28,308.6,46296,150,18355910
3,28237,Rory McIlroy,2545,2,6,2,320.2,44183,138,10893790
4,50525,Collin Morikawa,2456,0,7,122,296,44399,150,8365977
5,51766,Wyndham Clark,2154,1,6,6,314,42082,134,10901416
6,52955,Ludvig Åberg,2092,0,7,17,310.5,44086,142,9728857
7,51634,Sahith Theegala,2037,0,7,43,306.1,54494,178,8457385
8,32839,Hideki Matsuyama,1899,1,5,90,299.8,41966,140,11237611
9,39971,Sungjae Im,1896,0,7,97,299.3,49676,166,6122325
10,33204,Shane Lowry,1867,1,6,88,300.4,42049,140,6095881
11,35450,Patrick Cantlay,1780,0,4,69,302.7,39356,130,6279965
12,33948,Byeong Hun An,1755,0,5,3,317.1,47570,150,5871643
13,34098,Russell Henley,1671,0,6,150,291.3,42534,146,5080969
14,29725,Tony Finau,1635,0,5,31,308.4,48731,158,5706467
15,56630,Akshay Bhatia,1610,1,3,90,299.8,51557,172,5344905
16,48153,Matthieu Pavon,1569,1,4,80,300.9,37915,126,5254412
17,52215,Robert MacIntyre,1535,2,5,52,304.9,43902,144,5400384
18,49960,Sepp Straka,1498,0,4,127,294.9,44238,150,4601079
19,33448,Justin Thomas,1445,0,5,21,309.8,39034,126,4475561
20,27644,Brian Harman,1419,0,3,140,293.5,48729,166,5138310
21,35532,Tom Hoge,1411,0,3,119,296.2,53901,182,4804429
22,45522,Christiaan Bezuidenhout,1406,0,3,154,290.7,44184,152,5026363
23,29420,Billy Horschel,1392,1,6,94,299.4,45502,152,5037278
24,58168,Davis Thompson,1385,1,4,46,305.8,50143,164,4144916
25,46414,Aaron Rai,1381,1,6,139,293.8,50537,172,4613515
26,28089,Jason Day,1345,0,4,83,300.8,41515,138,4117518
27,40250,Taylor Pendrith,1324,1,6,9,312.5,44999,144,4579104
28,30926,Chris Kirk,1318,1,2,100,299.1,42467,142,6023786
29,47504,Sam Burns,1265,0,6,35,307.4,44884,146,6185830
30,39997,Corey Conners,1249,0,3,78,301.2,52414,174,4061539
31,57366,Cameron Young,1227,0,6,26,308.9,50036,162,4057224
32,30911,Tommy Fleetwood,1223,0,3,88,300.4,42662,142,4609158
33,36799,Stephan Jaeger,1207,1,3,27,308.8,42614,138,3847034
34,33653,Thomas Detry,1202,0,4,62,303.3,40641,134,3614669
35,39977,Max Homa,1194,0,3,84,300.6,45087,150,3786432
36,49771,J.T. Poston,1193,0,4,148,291.9,44953,154,3691765
37,33399,Adam Hadwin,1181,0,5,112,297.6,43454,146,4034183
38,37455,Si Woo Kim,1168,0,1,127,294.9,48960,166,4260683
39,33141,Keegan Bradley,1075,0,2,47,305.5,48263,158,6879455
40,40098,Matt Fitzpatrick,1074,0,3,101,299,42456,142,3705463
41,57362,Austin Eckroat,1069,1,2,84,300.6,46888,156,3633335
42,27349,Alex Noren,1067,0,3,125,295.5,40775,138,3649210
43,55182,Tom Kim,1051,0,2,102,298.7,46002,154,4124968
44,45157,Cam Davis,1051,1,1,70,302.6,45388,150,4039533
45,47993,Denny McCarthy,1045,0,3,150,291.3,48358,166,3958733
46,24502,Adam Scott,1041,0,3,37,307.1,43612,142,4753172
47,51977,Max Greyserman,1041,0,4,10,312.2,42770,137,3196556
48,35506,Mackenzie Hughes,1026,0,3,109,298.1,49484,166,3213408
49,47483,Will Zalatoris,1019,0,3,70,302.6,37517,124,4539910
50,47420,Jake Knapp,970,1,4,21,309.8,43987,142,3086813
51,34099,Harris English,969,0,2,94,299.4,44906,150,2825188
52,25493,Nick Taylor,969,1,3,150,291.3,40199,138,3135045
53,36699,Patrick Rodgers,952,0,4,42,306.4,47804,156,2742854
54,47591,Eric Cole,948,0,4,108,298.2,55472,186,3209297
55,22405,Justin Rose,881,0,2,113,297.5,36295,122,3058683
56,54591,Ben Griffin,867,0,4,130,294.7,50691,172,2791277
57,46717,Viktor Hovland,854,0,1,51,305.1,34780,114,4616727
58,40006,Erik van Rooyen,813,0,4,54,304.2,40762,134,2509377
59,46442,Maverick McNealy,808,0,4,56,303.8,44352,146,2922633
60,49947,Taylor Moore,803,0,2,49,305.3,49454,162,2527829
62,34466,Peter Malnati,794,1,2,115,297.1,38621,130,2520248
63,37378,Min Woo Lee,783,0,2,5,315.5,39122,124,2553986
64,34046,Jordan Spieth,782,0,3,39,306.9,42962,140,2732591
65,36801,Mark Hubbard,737,0,2,137,293.9,45261,154,2135030
66,30927,Brendon Todd,720,0,2,169,280.4,48798,174,2431385
67,28252,Seamus Power,703,0,0,102,298.7,46002,154,2509099
68,59866,Nick Dunlap,701,2,3,34,307.8,38782,126,2878325
69,27064,Jhonattan Vegas,685,1,1,12,312.1,33705,108,2004168
70,31646,Emiliano Grillo,684,0,2,147,292.3,47355,162,2192804
71,47679,Victor Perez,654,0,3,75,301.6,40712,135,2023241
72,47995,Davis Riley,647,1,1,66,302.8,36940,122,2120901
73,34256,Andrew Putnam,625,0,2,167,281.5,37725,134,1894259
74,48117,Kurt Kitayama,603,0,2,45,305.9,40994,134,1904748
75,27129,Luke List,601,0,1,74,301.9,34421,114,2444305
76,40115,Adam Svensson,601,0,2,114,297.4,51739,174,1891970
77,39546,Keith Mitchell,599,0,3,13,311.1,42927,138,1892599
78,25900,Lucas Glover,596,0,0,162,287.6,41992,146,1852346
79,54628,Lee Hodges,596,0,0,130,294.7,43021,146,1799907
80,47347,Adam Schenk,583,0,1,79,301,45752,152,1807310
81,12716,Charley Hoffman,550,0,3,61,303.4,33984,112,1696554
82,52453,Nicolai Højgaard,532,0,1,25,309.1,35239,114,1741996
83,36884,Ben Kohles,531,0,2,159,288.4,37488,130,1692159
84,51287,Ryo Hisatsune,522,0,1,123,295.7,38738,131,1417289
85,35461,Beau Hossler,521,0,2,97,299.3,38903,130,1474814
